Daynum,Month,Day,Date,Year
1,Sept,Wed,4,2013
2,Sept,Fri,6,2013
3,Sept,Mon,9,2013
4,Sept,Wed,11,2013
5,Sept,Fri,13,2013
6,Sept,Mon,16,2013
7,Sept,Wed,18,2013
8,Sept,Fri,20,2013
9,Sept,Mon,23,2013
10,Sept,Wed,25,2013
11,Sept,Fri,27,2013
12,Sept,Mon,30,2013
13,Oct,Wed,2,2013
14,Oct,Fri,4,2013
15,Oct,Mon,7,2013
16,Oct,Wed,9,2013
17,Oct,Fri,11,2013
18,Oct,Mon,14,2013
19,Oct,Wed,16,2013
20,Oct,Fri,18,2013
21,Oct,Mon,21,2013
22,Oct,Wed,23,2013
23,Oct,Mon,28,2013
24,Oct,Wed,30,2013
25,Nov,Fri,1,2013
26,Nov,Mon,4,2013
27,Nov,Wed,6,2013
28,Nov,Fri,8,2013
29,Nov,Mon,11,2013
30,Nov,Wed,13,2013
31,Nov,Fri,15,2013
32,Nov,Mon,18,2013
33,Nov,Wed,20,2013
34,Nov,Fri,22,2013
35,Nov,Mon,25,2013
36,Nov,Wed,27,2013
37,Dec,Mon,2,2013
38,Dec,Wed,4,2013
39,Dec,Fri,6,2013
40,Dec,Mon,9,2013
